ref 	 beg 	 end 	 clusterType 	 nbTotalEvents 	 nbTumourEvents 	 nbNormalEvents 	 mean 	 standardDeviation 	 variationConfficient 
19	29985434	29985468	INS-CLUSTER	3	NA	NA	80.0	16.0831174424	20.103896803
19	29985551	29985601	INS-CLUSTER	4	NA	NA	226.75	179.7906769	79.2902654463
19	29379278	29379403	INS-CLUSTER	8	NA	NA	153.375	82.9200480885	54.0636010357
19	29379466	29379515	INS-CLUSTER	4	NA	NA	177.5	69.5215793837	39.1670869767
19	30835211	30835211	INS-CLUSTER	4	NA	NA	52.0	2.91547594742	5.60668451427
19	30113521	30113566	INS-CLUSTER	4	NA	NA	258.0	5.24404424085	2.03257528715
19	31047782	31047782	INS-CLUSTER	2	NA	NA	344.0	4.0	1.16279069767
19	33046469	33046509	INS-CLUSTER	4	NA	NA	79.5	15.5643824163	19.5778395173
19	34737059	34737063	INS-CLUSTER	2	NA	NA	7106.5	78.5	1.10462252867
19	34882829	34882831	INS-CLUSTER	2	NA	NA	105.0	21.0	20.0
19	34883035	34883044	INS-CLUSTER	2	NA	NA	185.5	30.5	16.4420485175
19	35596845	35596875	INS-CLUSTER	3	NA	NA	119.0	41.721297519	35.0599138815
19	35413908	35413913	INS-CLUSTER	2	NA	NA	71.0	0.0	0.0
19	35607675	35607735	INS-CLUSTER	4	NA	NA	52.25	1.47901994577	2.8306601833
19	36180171	36180176	INS-CLUSTER	2	NA	NA	329.5	3.5	1.062215478
19	36670274	36670284	INS-CLUSTER	2	NA	NA	68.5	0.5	0.729927007299
19	36686569	36686591	INS-CLUSTER	2	NA	NA	2864.0	17.0	0.593575418994
19	37281726	37281743	INS-CLUSTER	2	NA	NA	626.0	19.0	3.03514376997
19	37732989	37733015	INS-CLUSTER	3	NA	NA	253.666666667	128.717606497	50.7428146504
19	38259493	38259496	INS-CLUSTER	2	NA	NA	106.0	4.0	3.77358490566
19	39045026	39045072	INS-CLUSTER	4	NA	NA	879.75	6.37867541109	0.725055460197
19	39240893	39240930	INS-CLUSTER	4	NA	NA	120.5	11.8638105177	9.84548590681
19	40669137	40669150	INS-CLUSTER	3	NA	NA	158.333333333	30.0037034751	18.949707458
19	40286373	40286392	INS-CLUSTER	4	NA	NA	486.75	161.850818657	33.2513238125
19	41687128	41687146	INS-CLUSTER	2	NA	NA	128.0	25.0	19.53125
19	44052182	44052242	INS-CLUSTER	4	NA	NA	71.75	6.09815545883	8.49917137118
19	45828384	45828389	INS-CLUSTER	3	NA	NA	511.666666667	3.68178700573	0.719567492976
19	45444687	45444688	INS-CLUSTER	2	NA	NA	116.0	3.0	2.58620689655
19	48429619	48429620	INS-CLUSTER	2	NA	NA	317.0	1.0	0.315457413249
19	48546761	48546796	INS-CLUSTER	4	NA	NA	1043.5	577.64197389	55.3562025769
19	49262102	49262106	INS-CLUSTER	3	NA	NA	527.0	152.041660957	28.8504100488
19	49086222	49086265	INS-CLUSTER	3	NA	NA	671.333333333	32.3144274624	4.81346983055
19	49265270	49265380	INS-CLUSTER	4	NA	NA	99.75	52.4803534668	52.6118831747
19	49930960	49931049	INS-CLUSTER	5	NA	NA	85.2	26.7088000479	31.3483568638
19	50687904	50687904	INS-CLUSTER	2	NA	NA	74.0	1.0	1.35135135135
19	51132960	51132964	INS-CLUSTER	2	NA	NA	113.0	1.0	0.884955752212
19	51462925	51462951	INS-CLUSTER	3	NA	NA	224.666666667	130.808596388	58.223410855
19	51987928	51987952	INS-CLUSTER	4	NA	NA	56.0	3.67423461417	6.5611332396
19	51849020	51849064	INS-CLUSTER	3	NA	NA	71.6666666667	12.2836838485	17.1400239746
19	51314743	51314743	INS-CLUSTER	2	NA	NA	75.0	4.0	5.33333333333
19	51088715	51088727	INS-CLUSTER	3	NA	NA	94.0	0.816496580928	0.868613383966
19	51287816	51287855	INS-CLUSTER	3	NA	NA	379.333333333	172.47286421	45.4673631486
19	51849526	51849546	INS-CLUSTER	3	NA	NA	74.0	13.7355985187	18.5616196199
19	52888050	52888079	INS-CLUSTER	3	NA	NA	463.333333333	4.64279609239	1.0020423221
19	53814547	53814556	INS-CLUSTER	3	NA	NA	74.0	8.60232526704	11.6247638744
19	54860913	54860929	INS-CLUSTER	2	NA	NA	173.5	107.5	61.9596541787
19	54036359	54036367	INS-CLUSTER	4	NA	NA	308.0	6.81909084849	2.21399053522
19	54925255	54925292	INS-CLUSTER	4	NA	NA	374.5	130.626375591	34.8802071004
19	54232686	54232687	INS-CLUSTER	4	NA	NA	447.75	6.79613860953	1.51784223552
19	54861029	54861131	INS-CLUSTER	4	NA	NA	243.75	165.304832053	67.817366996
19	54861245	54861317	INS-CLUSTER	4	NA	NA	158.5	102.821447179	64.8715755073
19	55205002	55205070	INS-CLUSTER	3	NA	NA	127.0	41.0446910899	32.3186544015
19	55886785	55886793	INS-CLUSTER	2	NA	NA	72.0	0.0	0.0
19	55907848	55907856	INS-CLUSTER	3	NA	NA	77.3333333333	8.33999733546	10.7844793131
19	55223452	55223477	INS-CLUSTER	2	NA	NA	138.0	39.0	28.2608695652
19	55580305	55580329	INS-CLUSTER	6	NA	NA	168.833333333	10.5264217831	6.23480066126
19	55646153	55646170	INS-CLUSTER	5	NA	NA	211.0	50.4737555567	23.9212111643
19	55204707	55204739	INS-CLUSTER	4	NA	NA	131.25	65.8535306571	50.1741185959
19	55665081	55665108	INS-CLUSTER	4	NA	NA	71.75	12.2346843032	17.0518248129
19	56519225	56519266	INS-CLUSTER	4	NA	NA	79.75	16.4677715554	20.6492433296
19	56000238	56000239	INS-CLUSTER	2	NA	NA	157.5	1.5	0.952380952381
19	56662932	56662940	INS-CLUSTER	2	NA	NA	78.5	8.5	10.8280254777
19	56749329	56749355	INS-CLUSTER	3	NA	NA	225.0	7.7888809637	3.46172487275
19	57425515	57425534	INS-CLUSTER	2	NA	NA	298.0	14.0	4.69798657718
19	57454261	57454361	INS-CLUSTER	12	NA	NA	762.916666667	758.705636631	99.4480353858
19	58999655	58999771	INS-CLUSTER	5	NA	NA	81.8	28.4422221354	34.7704427083
19	270502	270597	DEL-CLUSTER	3	NA	NA	65.0	2.94392028878	4.52910813658
19	861317	861387	DEL-CLUSTER	2	NA	NA	65.0	2.0	3.07692307692
19	350128	350198	DEL-CLUSTER	2	NA	NA	64.0	0.0	0.0
19	841434	841514	DEL-CLUSTER	2	NA	NA	63.0	0.0	0.0
19	298385	298641	DEL-CLUSTER	3	NA	NA	218.333333333	19.6015872373	8.97782621557
19	299476	299599	DEL-CLUSTER	3	NA	NA	94.3333333333	19.5675468286	20.7429825038
19	299713	299910	DEL-CLUSTER	2	NA	NA	193.5	1.5	0.77519379845
19	396061	396231	DEL-CLUSTER	2	NA	NA	138.5	3.5	2.52707581227
19	269760	269851	DEL-CLUSTER	2	NA	NA	66.0	0.0	0.0
19	400124	400595	DEL-CLUSTER	2	NA	NA	342.5	78.5	22.9197080292
19	140174	140390	DEL-CLUSTER	2	NA	NA	151.5	0.5	0.3300330033
19	404053	404384	DEL-CLUSTER	2	NA	NA	255.0	39.0	15.2941176471
19	300092	300321	DEL-CLUSTER	2	NA	NA	162.5	0.5	0.307692307692
19	300638	300866	DEL-CLUSTER	2	NA	NA	168.0	50.0	29.7619047619
19	410767	410879	DEL-CLUSTER	2	NA	NA	112.0	0.0	0.0
19	351210	351524	DEL-CLUSTER	2	NA	NA	313.0	1.0	0.319488817891
19	350352	350600	DEL-CLUSTER	2	NA	NA	219.0	29.0	13.2420091324
19	361276	361529	DEL-CLUSTER	2	NA	NA	191.0	62.0	32.4607329843
19	361489	361902	DEL-CLUSTER	3	NA	NA	313.666666667	4.9888765157	1.59050260862
19	404857	405063	DEL-CLUSTER	2	NA	NA	162.0	34.0	20.987654321
19	466908	467015	DEL-CLUSTER	2	NA	NA	94.5	1.5	1.5873015873
19	350865	351062	DEL-CLUSTER	2	NA	NA	153.5	41.5	27.0358306189
19	298768	299167	DEL-CLUSTER	3	NA	NA	382.666666667	18.8738502225	4.9321908247
19	620915	621018	DEL-CLUSTER	2	NA	NA	76.0	16.0	21.0526315789
19	399686	400005	DEL-CLUSTER	2	NA	NA	279.0	40.0	14.3369175627
19	2576017	2576087	DEL-CLUSTER	3	NA	NA	60.6666666667	6.59966329107	10.8785658644
19	2939060	2939133	DEL-CLUSTER	2	NA	NA	67.0	1.0	1.49253731343
19	2909279	2910825	DEL-CLUSTER	2	NA	NA	1257.0	66.0	5.25059665871
19	3311159	3311329	DEL-CLUSTER	3	NA	NA	132.666666667	2.05480466766	1.54884773944
19	3175611	3175794	DEL-CLUSTER	2	NA	NA	141.5	31.5	22.2614840989
19	4618597	4619597	DEL-CLUSTER	2	NA	NA	756.0	231.0	30.5555555556
19	4874777	4875137	DEL-CLUSTER	2	NA	NA	317.5	0.5	0.157480314961
19	6163221	6163517	DEL-CLUSTER	2	NA	NA	293.0	3.0	1.02389078498
19	7647753	7647824	DEL-CLUSTER	3	NA	NA	51.0	0.0	0.0
19	8817200	8817270	DEL-CLUSTER	4	NA	NA	63.75	0.433012701892	0.679235610811
19	8801466	8801531	DEL-CLUSTER	3	NA	NA	52.3333333333	1.6996731712	3.24778312968
19	8514415	8514734	DEL-CLUSTER	2	NA	NA	307.5	1.5	0.487804878049
19	8487888	8487962	DEL-CLUSTER	2	NA	NA	57.5	2.5	4.34782608696
19	8772945	8773255	DEL-CLUSTER	3	NA	NA	287.333333333	1.6996731712	0.591533586264
19	9659663	9659854	DEL-CLUSTER	4	NA	NA	131.25	1.47901994577	1.12687233964
19	12557701	12557995	DEL-CLUSTER	2	NA	NA	289.0	1.0	0.346020761246
19	13739081	13739239	DEL-CLUSTER	4	NA	NA	124.75	1.47901994577	1.18558713088
19	14758207	14758289	DEL-CLUSTER	2	NA	NA	68.5	13.5	19.7080291971
19	14646326	14646393	DEL-CLUSTER	4	NA	NA	54.25	4.32290411645	7.96848685059
19	14488139	14488212	DEL-CLUSTER	2	NA	NA	67.0	0.0	0.0
19	15784681	15784785	DEL-CLUSTER	2	NA	NA	75.0	0.0	0.0
19	15785238	15785300	DEL-CLUSTER	2	NA	NA	52.5	0.5	0.952380952381
19	15993273	15993436	DEL-CLUSTER	2	NA	NA	117.5	0.5	0.425531914894
19	17261371	17261818	DEL-CLUSTER	2	NA	NA	426.0	0.0	0.0
19	17425934	17426060	DEL-CLUSTER	2	NA	NA	93.0	23.0	24.7311827957
19	19258016	19258292	DEL-CLUSTER	3	NA	NA	272.0	0.0	0.0
19	20174679	20175004	DEL-CLUSTER	3	NA	NA	318.333333333	0.471404520791	0.148085189777
19	21003392	21003552	DEL-CLUSTER	3	NA	NA	158.0	1.41421356237	0.89507187492
19	24594352	24594539	DEL-CLUSTER	8	NA	NA	169.75	2.16506350946	1.27544242089
19	24597769	24597828	DEL-CLUSTER	5	NA	NA	57.4	1.2	2.09059233449
19	24541756	24541939	DEL-CLUSTER	6	NA	NA	154.333333333	1.88561808316	1.22178277527
19	24568739	24569134	DEL-CLUSTER	5	NA	NA	342.2	2.31516738056	0.676553880935
19	24573554	24574269	DEL-CLUSTER	9	NA	NA	676.111111111	1.36986977844	0.202610156219
19	24595018	24596050	DEL-CLUSTER	4	NA	NA	1028.0	1.87082869339	0.181987226983
19	27924785	27924865	DEL-CLUSTER	2	NA	NA	77.5	2.5	3.22580645161
19	27911447	27911887	DEL-CLUSTER	2	NA	NA	339.5	1.5	0.441826215022
19	27961372	27963258	DEL-CLUSTER	2	NA	NA	1883.5	2.5	0.132731616671
19	28132444	28132778	DEL-CLUSTER	2	NA	NA	322.5	3.5	1.08527131783
19	28125992	28126331	DEL-CLUSTER	3	NA	NA	329.333333333	0.471404520791	0.143139024532
19	29296068	29296293	DEL-CLUSTER	2	NA	NA	211.5	1.5	0.709219858156
19	29881453	29881537	DEL-CLUSTER	3	NA	NA	57.3333333333	1.24721912892	2.17538220161
19	30289447	30289558	DEL-CLUSTER	2	NA	NA	105.0	0.0	0.0
19	30210265	30210712	DEL-CLUSTER	5	NA	NA	371.8	3.31058907145	0.890422020293
19	30411061	30411140	DEL-CLUSTER	3	NA	NA	53.3333333333	1.24721912892	2.33853586673
19	30386516	30386752	DEL-CLUSTER	4	NA	NA	223.25	1.92028643697	0.860150699649
19	30953654	30953967	DEL-CLUSTER	5	NA	NA	248.8	32.1210211544	12.9103782775
19	30400975	30401116	DEL-CLUSTER	2	NA	NA	129.0	0.0	0.0
19	30388790	30393100	DEL-CLUSTER	2	NA	NA	4149.0	161.0	3.88045312123
19	31017334	31017657	DEL-CLUSTER	3	NA	NA	316.0	0.0	0.0
19	31443064	31443152	DEL-CLUSTER	2	NA	NA	84.0	0.0	0.0
19	34570302	34570515	DEL-CLUSTER	3	NA	NA	177.333333333	29.2726645335	16.5071416542
19	34316438	34316539	DEL-CLUSTER	2	NA	NA	86.0	15.0	17.4418604651
19	34034611	34034744	DEL-CLUSTER	2	NA	NA	120.0	6.0	5.0
19	36662649	36662988	DEL-CLUSTER	6	NA	NA	295.833333333	1.67497927019	0.566190175838
19	36653796	36654143	DEL-CLUSTER	5	NA	NA	317.0	2.60768096208	0.822612290877
19	38371612	38371762	DEL-CLUSTER	2	NA	NA	110.5	2.5	2.26244343891
19	39393124	39393206	DEL-CLUSTER	2	NA	NA	82.0	0.0	0.0
19	39234018	39234121	DEL-CLUSTER	3	NA	NA	70.6666666667	0.471404520791	0.667081869044
19	39436128	39436215	DEL-CLUSTER	2	NA	NA	74.0	13.0	17.5675675676
19	39233971	39234051	DEL-CLUSTER	4	NA	NA	70.75	2.27760839479	3.21923448026
19	40124699	40124789	DEL-CLUSTER	5	NA	NA	83.0	2.36643191324	2.85112278704
19	40975960	40976106	DEL-CLUSTER	2	NA	NA	146.0	0.0	0.0
19	41472016	41472323	DEL-CLUSTER	2	NA	NA	303.0	0.0	0.0
19	41867424	41867841	DEL-CLUSTER	3	NA	NA	284.666666667	6.18241233033	2.17180761019
19	41471334	41471668	DEL-CLUSTER	2	NA	NA	309.0	1.0	0.323624595469
19	42340345	42340396	DEL-CLUSTER	2	NA	NA	50.5	0.5	0.990099009901
19	42400862	42400945	DEL-CLUSTER	2	NA	NA	80.0	3.0	3.75
19	42307681	42307790	DEL-CLUSTER	2	NA	NA	88.0	21.0	23.8636363636
19	43720720	43720883	DEL-CLUSTER	2	NA	NA	161.0	2.0	1.24223602484
19	43167377	43167820	DEL-CLUSTER	2	NA	NA	429.5	4.5	1.04772991851
19	45281674	45281752	DEL-CLUSTER	2	NA	NA	73.0	1.0	1.3698630137
19	45527207	45527336	DEL-CLUSTER	2	NA	NA	89.0	0.0	0.0
19	46892618	46892679	DEL-CLUSTER	3	NA	NA	55.3333333333	3.68178700573	6.65383193806
19	46956101	46956430	DEL-CLUSTER	2	NA	NA	328.5	0.5	0.152207001522
19	46278647	46279638	DEL-CLUSTER	3	NA	NA	975.0	2.44948974278	0.251229717209
19	47993727	47993780	DEL-CLUSTER	2	NA	NA	52.5	0.5	0.952380952381
19	47138812	47138890	DEL-CLUSTER	2	NA	NA	68.5	0.5	0.729927007299
19	47993679	47993745	DEL-CLUSTER	3	NA	NA	54.0	2.16024689947	4.00045722124
19	49947353	49947486	DEL-CLUSTER	3	NA	NA	88.6666666667	31.3510588161	35.3583370106
19	49966465	49966736	DEL-CLUSTER	3	NA	NA	218.0	0.816496580928	0.374539716022
19	49260851	49261097	DEL-CLUSTER	2	NA	NA	178.5	0.5	0.280112044818
19	49514985	49515154	DEL-CLUSTER	3	NA	NA	125.333333333	1.24721912892	0.995121645419
19	50729399	50729732	DEL-CLUSTER	3	NA	NA	295.666666667	2.05480466766	0.694973393796
19	50378550	50378638	DEL-CLUSTER	3	NA	NA	71.3333333333	0.471404520791	0.660847459053
19	51129018	51129092	DEL-CLUSTER	2	NA	NA	72.0	1.0	1.38888888889
19	51814379	51814519	DEL-CLUSTER	2	NA	NA	122.0	18.0	14.7540983607
19	51486182	51486340	DEL-CLUSTER	2	NA	NA	141.0	3.0	2.12765957447
19	52948969	52949075	DEL-CLUSTER	3	NA	NA	106.0	0.0	0.0
19	53369292	53369388	DEL-CLUSTER	3	NA	NA	65.0	10.677078252	16.4262742339
19	53315140	53315301	DEL-CLUSTER	2	NA	NA	126.0	3.0	2.38095238095
19	53084111	53084261	DEL-CLUSTER	3	NA	NA	138.333333333	2.86744175568	2.07284946194
19	53190854	53190913	DEL-CLUSTER	5	NA	NA	57.4	1.49666295471	2.60742675037
19	53638568	53638636	DEL-CLUSTER	3	NA	NA	56.0	7.11805216802	12.7108074429
19	53872636	53873145	DEL-CLUSTER	2	NA	NA	497.5	1.5	0.301507537688
19	55961480	55961729	DEL-CLUSTER	4	NA	NA	182.25	43.1124981879	23.6556917355
19	55191891	55191992	DEL-CLUSTER	2	NA	NA	78.0	2.0	2.5641025641
19	55001733	55001808	DEL-CLUSTER	2	NA	NA	64.5	0.5	0.77519379845
19	55719790	55720194	DEL-CLUSTER	2	NA	NA	287.5	2.5	0.869565217391
19	56580931	56580982	DEL-CLUSTER	3	NA	NA	50.0	0.0	0.0
19	56610009	56610092	DEL-CLUSTER	2	NA	NA	74.5	1.5	2.01342281879
19	56504824	56504974	DEL-CLUSTER	2	NA	NA	147.0	3.0	2.04081632653
19	56818345	56818512	DEL-CLUSTER	2	NA	NA	162.0	4.0	2.46913580247
19	56020065	56020217	DEL-CLUSTER	2	NA	NA	142.0	1.0	0.704225352113
19	56591278	56591962	DEL-CLUSTER	2	NA	NA	481.0	62.0	12.8898128898
19	56817967	56818216	DEL-CLUSTER	2	NA	NA	237.0	4.0	1.68776371308
19	56038983	56039064	DEL-CLUSTER	4	NA	NA	56.25	3.56195171219	6.33235859946
19	56041811	56042179	DEL-CLUSTER	5	NA	NA	332.4	4.22374241639	1.27068063068
19	57458396	57458458	DEL-CLUSTER	2	NA	NA	60.5	0.5	0.826446280992
19	57491139	57491225	DEL-CLUSTER	2	NA	NA	59.5	3.5	5.88235294118
19	57111544	57111863	DEL-CLUSTER	2	NA	NA	317.5	1.5	0.472440944882
19	58034593	58034820	DEL-CLUSTER	6	NA	NA	226.333333333	1.490711985	0.658635634021
19	58916604	58916825	DEL-CLUSTER	3	NA	NA	175.666666667	0.942809041582	0.536703439231
19	58010741	58010865	DEL-CLUSTER	2	NA	NA	95.0	29.0	30.5263157895
19	58567937	58568060	DEL-CLUSTER	2	NA	NA	121.5	0.5	0.411522633745
19	58010968	58011026	DEL-CLUSTER	3	NA	NA	63.0	3.55902608401	5.6492477524
19	58921904	58922175	DEL-CLUSTER	6	NA	NA	256.666666667	7.4311656032	2.89525932592
19	58617768	58618126	DEL-CLUSTER	4	NA	NA	335.75	3.34477204006	0.996209096073
19	59096446	59096607	DEL-CLUSTER	2	NA	NA	145.5	5.5	3.78006872852
19	59035196	59035305	DEL-CLUSTER	4	NA	NA	92.5	2.17944947177	2.3561615911
19	59111550	59111954	DEL-CLUSTER	3	NA	NA	309.333333333	40.0777023072	12.9561537631
19	835412	835421	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	102982	102988	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	1196708	1196714	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	2910450	2910457	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	3175400	3175421	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	3974022	3974032	LEFT-CLIPPING-CLUSTER	4	NA	NA	NA	NA	NA
19	5510756	5510756	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	6318517	6318526	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	7396004	7396043	LEFT-CLIPPING-CLUSTER	4	NA	NA	NA	NA	NA
19	7259292	7259292	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	7515015	7515018	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	8737198	8737198	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	13940964	13940981	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	13114017	13114018	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	15435557	15435596	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	17327385	17327385	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	17432648	17432648	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	20371211	20371222	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	21926821	21926821	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	21907109	21907109	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	23935919	23935919	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	24033179	24033181	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	24513214	24513216	LEFT-CLIPPING-CLUSTER	8	NA	NA	NA	NA	NA
19	24027921	24027921	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	27731782	27731794	LEFT-CLIPPING-CLUSTER	3	NA	NA	NA	NA	NA
19	29855780	29855782	LEFT-CLIPPING-CLUSTER	4	NA	NA	NA	NA	NA
19	30529667	30529672	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	32263357	32263361	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	33824210	33824219	LEFT-CLIPPING-CLUSTER	2	NA	NA	NA	NA	NA
19	34737048	34737050	LEFT-CLIPPING-CLUSTER	3	NA	NA	NA	NA	NA
